@RELATION Infoplasmid

@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric
@ATTRIBUTE att11 numeric
@ATTRIBUTE att12 numeric
@ATTRIBUTE att13 numeric
@ATTRIBUTE att14 numeric
@ATTRIBUTE att15 numeric
@ATTRIBUTE att16 numeric
@ATTRIBUTE class {F,P,Q,V}

@DATA
41.620000000, -11.358000000, -14.161000000, 0.006700000, 46.820000000, 5746.749800000, 45.030000000, 57.590000000, 39.900000000, 0.120100000, 48.312474432, -12.573000000, 0.000200000, -16.402000000, -13.779000000, 40.340000000, P
53.260000000, -11.860000000, -15.947000000, -0.073500000, 55.680000000, 4309.618900000, 46.160000000, 44.630000000, 46.680000000, 0.139400000, 48.109083264, -13.752000000, 0.081900000, -13.823000000, -12.278000000, 45.410000000, P
53.620000000, -17.099000000, -15.394000000, -0.314200000, 54.790000000, 718.512300000, 60.570000000, 54.810000000, 61.460000000, -0.052300000, 51.429474311, -13.048000000, 0.117000000, -15.350000000, -15.342000000, 58.760000000, Q
45.980000000, -16.484000000, -13.955000000, 0.270900000, 49.760000000, 891.580000000, 53.480000000, 50.000000000, 55.770000000, -0.584200000, 47.559518459, -13.794000000, 0.004400000, -12.954000000, -14.033000000, 51.710000000, P
46.950000000, -17.304000000, -12.393000000, 0.109000000, 43.650000000, 620.170700000, 54.160000000, 57.020000000, 56.510000000, 0.288500000, 49.580025922, -12.767000000, 0.134400000, -16.456000000, -15.858000000, 42.470000000, P
51.390000000, -12.836000000, -16.854000000, 0.002600000, 56.670000000, 3485.955400000, 43.220000000, 64.340000000, 43.350000000, -0.093600000, 48.405452215, -15.151000000, -0.348700000, -18.813000000, -13.453000000, 43.660000000, P
37.090000000, -17.104000000, -12.544000000, -0.036900000, 42.920000000, 679.625500000, 46.670000000, 53.060000000, 62.300000000, -0.306600000, 50.459913412, -12.159000000, -0.411700000, -16.029000000, -12.780000000, 56.220000000, V
48.040000000, -12.838000000, -13.442000000, 0.253800000, 48.050000000, 3598.583600000, 50.220000000, 53.140000000, 51.720000000, 0.212600000, 48.913708454, -14.576000000, 0.077200000, -16.059000000, -13.860000000, 44.420000000, P
37.300000000, -16.584000000, -12.342000000, 0.349100000, 44.340000000, 746.964600000, 42.790000000, 37.970000000, 54.590000000, 0.258500000, 47.355284548, -10.069000000, 0.035000000, -11.509000000, -10.525000000, 54.190000000, V
57.310000000, -18.576000000, -11.780000000, 0.038300000, 46.920000000, 332.706300000, 53.710000000, 44.880000000, 65.730000000, -0.014700000, 46.162170489, -15.596000000, -0.043400000, -12.651000000, -16.150000000, 47.580000000, F
